,region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,state
0,reno / tahoe,1148,apartment,1078,3,2.0,1,1,0,0,0,0,w/d in unit,carport,ca
1,reno / tahoe,1200,condo,1001,2,2.0,0,0,0,0,0,0,w/d hookups,carport,ca
2,reno / tahoe,1813,apartment,1683,2,2.0,1,1,1,0,0,0,w/d in unit,attached garage,ca
3,reno / tahoe,1095,apartment,708,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
6,reno / tahoe,935,apartment,661,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking,ca
7,reno / tahoe,1095,apartment,708,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
8,reno / tahoe,1525,apartment,1053,2,2.0,1,1,0,0,0,0,w/d in unit,carport,ca
9,reno / tahoe,1295,condo,930,2,2.0,0,0,0,0,0,0,w/d in unit,carport,ca
11,reno / tahoe,2195,house,3115,4,3.0,0,0,0,0,0,0,w/d hookups,attached garage,ca
12,reno / tahoe,1159,apartment,1181,3,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
14,reno / tahoe,1449,apartment,764,1,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,ca
15,reno / tahoe,1295,apartment,951,2,2.0,0,0,0,0,0,0,w/d in unit,off-street parking,ca
16,reno / tahoe,982,apartment,919,2,2.0,1,1,0,0,0,0,w/d in unit,carport,ca
17,reno / tahoe,1895,apartment,1193,2,2.0,1,1,0,0,0,0,w/d in unit,attached garage,ca
18,reno / tahoe,1495,duplex,1192,3,1.0,1,1,0,0,0,0,w/d hookups,detached garage,ca
19,reno / tahoe,1899,house,1600,3,2.0,0,0,0,0,0,0,w/d in unit,attached garage,ca
20,reno / tahoe,1075,apartment,890,2,2.0,1,1,1,0,0,0,laundry on site,off-street parking,ca
21,reno / tahoe,1495,apartment,1450,2,2.0,0,0,1,0,0,0,w/d in unit,attached garage,ca
22,reno / tahoe,995,condo,654,1,1.0,0,0,1,0,0,0,laundry on site,carport,ca
23,reno / tahoe,2295,apartment,1347,3,2.0,1,1,0,0,0,0,w/d in unit,attached garage,ca
24,reno / tahoe,1325,apartment,710,1,1.0,1,1,0,0,0,0,w/d in unit,carport,ca
27,reno / tahoe,895,house,582,1,1.0,0,0,0,0,0,0,no laundry on site,off-street parking,ca
28,reno / tahoe,1975,apartment,2128,4,3.0,0,0,0,0,0,0,w/d hookups,attached garage,ca
29,reno / tahoe,1050,duplex,720,2,1.0,0,0,0,0,0,0,w/d hookups,attached garage,ca
30,reno / tahoe,1595,house,1440,2,2.0,1,1,0,0,0,0,w/d in unit,attached garage,ca
33,reno / tahoe,1045,apartment,886,2,1.5,1,0,1,0,0,0,laundry on site,off-street parking,ca
34,reno / tahoe,1195,house,844,2,1.0,0,0,0,0,0,0,w/d hookups,off-street parking,ca
35,reno / tahoe,875,apartment,756,2,1.0,0,0,1,0,0,0,laundry on site,off-street parking,ca
37,reno / tahoe,1325,apartment,708,1,1.0,1,1,0,0,0,0,w/d in unit,carport,ca
