region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,state,ER,sqfeet/p,price/p,laundry_score,parking_score
reno / tahoe,1148,apartment,1078,3,2.0,1,1,0,0,0,0,w/d in unit,carport,ca,3,359.3333333333333,382.6666666666667,5,4
reno / tahoe,1200,condo,1001,2,2.0,0,0,0,0,0,0,w/d hookups,carport,ca,2,500.5,600.0,4,4
reno / tahoe,1813,apartment,1683,2,2.0,1,1,1,0,0,0,w/d in unit,attached garage,ca,2,841.5,906.5,5,6
reno / tahoe,1095,apartment,708,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca,1,708.0,1095.0,5,4
reno / tahoe,935,apartment,661,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking,ca,1,661.0,935.0,2,3
reno / tahoe,1095,apartment,708,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca,1,708.0,1095.0,5,4
reno / tahoe,1525,apartment,1053,2,2.0,1,1,0,0,0,0,w/d in unit,carport,ca,2,526.5,762.5,5,4
reno / tahoe,1295,condo,930,2,2.0,0,0,0,0,0,0,w/d in unit,carport,ca,2,465.0,647.5,5,4
reno / tahoe,2195,house,3115,4,3.0,0,0,0,0,0,0,w/d hookups,attached garage,ca,4,778.75,548.75,4,6
reno / tahoe,1159,apartment,1181,3,2.0,1,1,1,0,0,0,w/d in unit,carport,ca,3,393.6666666666667,386.3333333333333,5,4
reno / tahoe,1449,apartment,764,1,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,ca,1,764.0,1449.0,5,3
reno / tahoe,1295,apartment,951,2,2.0,0,0,0,0,0,0,w/d in unit,off-street parking,ca,2,475.5,647.5,5,3
reno / tahoe,982,apartment,919,2,2.0,1,1,0,0,0,0,w/d in unit,carport,ca,2,459.5,491.0,5,4
reno / tahoe,1895,apartment,1193,2,2.0,1,1,0,0,0,0,w/d in unit,attached garage,ca,2,596.5,947.5,5,6
reno / tahoe,1495,duplex,1192,3,1.0,1,1,0,0,0,0,w/d hookups,detached garage,ca,3,397.3333333333333,498.3333333333333,4,5
reno / tahoe,1899,house,1600,3,2.0,0,0,0,0,0,0,w/d in unit,attached garage,ca,3,533.3333333333334,633.0,5,6
